ID,SIS User ID,initialScore,scoreChangeSum,newScore,feedback
987670.0,49772668.0,5.00,0,5,"Question regraded: Q.2

Change in grade:-1

Comments left by regrader: started with the wrong substitution; not eligible for any of the part marks listed in rubric"
800607.0,70126644.0,1.00,2,3,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
960651.0,53873725.0,7.00,0,7,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1049437.0,32945925.0,1.00,0,1,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1026467.0,72062847.0,14.00,1,15,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
964308.0,94979507.0,6.00,0,6,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: An answer is partially correct, but doesn't follow the instruction in the problem"
1040878.0,54399555.0,4.00,0,4,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: The substitution was not done correctly; du is not correctly computed."
948506.0,32964645.0,1.00,0,1,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: The substitution was not done correctly; du is not correctly computed."
1017343.0,71620918.0,9.00,0,9,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: The substitution was not done correctly; du is not correctly computed."
1037130.0,56695331.0,6.00,0,6,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: The substitution was not done correctly, and expression for cos(\theta) is not enough for a partial mark."
1026827.0,41101338.0,7.00,1,8,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: Incorrect substitution, but sqrt(6)tan(\theta) was present, albeit implicitly. No marks for \sec(\theta) in terms of x."
1008490.0,44983658.0,8.00,0,8,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: sqrt(6) is in the denominator, so no marks awarded for the very first item in the rubric."
1079761.0,55992465.0,5.00,0,5,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: Substitution was left unfinished, and the result is not correct, no marks for that"
1016133.0,33303454.0,12.00,1,13,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: Left the final answer in terms of x, but with a trig(arctrig) expression"
983330.0,66014192.0,11.00,0,11,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: Did attempt to substitute u=e^{3x}, but mixed variables in the integral which is always incorrect. (scratched out work is never graded)"
983326.0,21343439.0,9.00,3,12,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: +1 for writing t as any arctrig function of the original exponential function."
1008722.0,84274711.0,6.00,1,7,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: Correctly substituted e^{3x} but did not perform a trig sub after this"
1008337.0,91048355.0,7.00,0,7,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: Attempts to perform a substitution, but does no part of the sub correctly and leaves the integral with mixed variables "
1014446.0,57350183.0,7.00,2,9,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: Attempts correct substitution, but error when finding du makes problem far easier. "
985414.0,54680673.0,8.00,1,9,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: Correctly substituted e^{3x} but incorrect trig sub makes problem far easier"
1008497.0,60497583.0,2.00,0,2,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: No correct work."
961740.0,72193626.0,14.00,1,15,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: +1 for writing t as any arctrig function of the original exponential function."
985731.0,61199105.0,13.00,1,14,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: +1 for writing u as arctrig function, but no points for the incorrect trig sub"
1024659.0,14583348.0,9.00,2,11,"Question regraded: Q.2

Change in grade:2

Comments left by regrader: Correct attempt at trig sub and wrote u as arctrig function, but incorrect work makes the problem much easier"
825856.0,47692678.0,0.00,2,2,"Question regraded: Q.1

Change in grade:2

Comments left by regrader: [2 total] Marking solution attempt on p. 4: correct sub identified (+1) and du calculated correctly (+1). No more pts possible (incorrect sub into integrand, incorrect antideriv, no bounds, etc)."
1050164.0,10183556.0,13.00,2,15,"Question regraded: Q.1

Change in grade:2

Comments left by regrader: [5 total] +1 for bounds, +1 for correct final answer for their antiderivative. All of this is correct except for the actual antidifferentiation step."
831831.0,59919415.0,7.00,0,7,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: [5 total] Marked correctly: lost 1 pt due to sign error in antiderivative."
957012.0,43283761.0,5.00,5,10,"Question regraded: Q.1

Change in grade:5

Comments left by regrader: [5 total] Correct except for antiderivative."
1033771.0,83806224.0,1.00,2,3,"Question regraded: Q.1

Change in grade:2

Comments left by regrader: [2 total] +1 for u-substitution, +1 for du calculation"
1033876.0,86746435.0,9.00,2,11,"Question regraded: Q.1

Change in grade:2

Comments left by regrader: [3 total] Correct u, du, and integrand. No marks for antiderivative, final answer simplification error, and treatment of bounds (see Test 1 info document, Presentation, #2)."
